2025-02-24T22:00:01.340 +0000 [ 349125958][   47319] INFO  - threddsServlet - Request Completed - 200 - -1 - 1818
2025-02-24T22:00:02.298 +0000 [ 349126916][   47320] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-02-24T22:00:02.298 +0000 [ 349126916][   47320] INFO  - threddsServlet - Request Completed - 302 - -1 - 0
2025-02-24T22:00:03.211 +0000 [ 349127829][   47321] INFO  - threddsServlet - Remote host: 172.25.0.1 - Request: "GET /thredds/wms/POP/model/regional/bom/forecast/monthly/accesss/seasonal_sst/latest.nc?layers=sst&styles=scalar-converge-final%2Fx-Sst&transparent=True&format=image%2Fpng&srs=EPSG%3A3857&version=1.1.1&colorscalerange=0,32&bbox=3628113.920451287,-7062633.203875565,35828292.27574849,9403367.09144687&width=1760&height=900&request=GetMap&service=WMS HTTP/1.0"
2025-02-24T22:00:05.132 +0000 [ 349129750][   47321] INFO  - threddsServlet - Request Completed - 200 - -1 - 1921
2025-02-24T22:00:12.359 +0000 [ 349136977][   47322] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-02-24T22:00:12.359 +0000 [ 349136977][   47322] INFO  - threddsServlet - Request Completed - 302 - -1 - 0
2025-02-24T22:00:22.418 +0000 [ 349147036][   47323] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-02-24T22:00:22.418 +0000 [ 349147036][   47323] INFO  - threddsServlet - Request Completed - 302 - -1 - 0
2025-02-24T22:00:32.475 +0000 [ 349157093][   47324] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-02-24T22:00:32.475 +0000 [ 349157093][   47324] INFO  - threddsServlet - Request Completed - 302 - -1 - 0
2025-02-24T22:00:42.536 +0000 [ 349167154][   47325] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-02-24T22:00:42.536 +0000 [ 349167154][   47325] INFO  - threddsServlet - Request Completed - 302 - -1 - 0
2025-02-24T22:00:52.593 +0000 [ 349177211][   47326] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-02-24T22:00:52.593 +0000 [ 349177211][   47326] INFO  - threddsServlet - Request Completed - 302 - -1 - 0
2025-02-24T22:01:02.650 +0000 [ 349187268][   47327] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-02-24T22:01:02.651 +0000 [ 349187269][   47327] INFO  - threddsServlet - Request Completed - 302 - -1 - 1
2025-02-24T22:01:12.712 +0000 [ 349197330][   47328] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-02-24T22:01:12.712 +0000 [ 349197330][   47328] INFO  - threddsServlet - Request Completed - 302 - -1 - 0
2025-02-24T22:01:22.769 +0000 [ 349207387][   47329] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-02-24T22:01:22.770 +0000 [ 349207388][   47329] INFO  - threddsServlet - Request Completed - 302 - -1 - 1
